Channel,Rank,Bank,Row,Col,Count,Cycle,CMD
0,0,5,32710,16,19,57:,RD
0,0,5,32710,16,20,61:,RD
0,0,5,32710,16,21,66:,RD
0,0,5,32710,16,22,70:,RD
0,0,5,32710,16,23,74:,RD
0,1,0,0,0,1,1025:,RD
0,1,0,0,0,2,1039:,RD
0,1,0,0,0,3,1067:,RD
0,1,0,0,0,4,1152:,RD
0,1,0,0,0,5,1160:,RD
0,1,0,0,0,6,1212:,RD
0,1,0,0,0,7,1260:,RD
0,1,0,0,0,8,1501:,RD
0,1,0,0,0,9,160:,RD
0,1,0,0,0,10,1789:,RD
0,1,0,0,0,11,1914:,RD
0,1,0,0,0,12,2162:,RD
0,1,0,0,0,13,2254:,RD
0,1,0,0,0,14,2258:,RD
0,1,0,0,0,15,2628:,RD
0,1,0,0,0,16,2632:,RD
0,1,0,0,0,17,2668:,RD
0,1,0,0,0,18,2776:,RD
0,1,0,0,0,19,3101:,RD
0,1,0,0,0,20,3105:,RD
0,1,0,0,0,21,406:,RD
0,1,0,0,0,22,4360:,RD
0,1,0,0,0,23,446:,RD
0,1,0,0,0,24,464:,RD
0,1,0,0,0,25,747:,RD
0,1,0,0,0,26,792:,RD
0,1,0,0,0,27,88:,RD
0,1,0,0,0,28,972:,RD
0,1,0,0,1,1,1009:,RD
0,1,0,0,1,2,1021:,RD
0,1,0,0,1,3,1031:,RD
0,1,0,0,1,4,1035:,RD
0,1,0,0,1,5,1156:,RD
0,1,0,0,1,6,1164:,RD
0,1,0,0,1,7,118:,RD
0,1,0,0,1,8,1208:,RD
0,1,0,0,1,9,1224:,RD
0,1,0,0,1,10,1228:,RD
0,1,0,0,1,11,1496:,RD
0,1,0,0,1,12,156:,RD
0,1,0,0,1,13,1793:,RD
0,1,0,0,1,14,1797:,RD
0,1,0,0,1,15,1833:,RD
0,1,0,0,1,16,1918:,RD
0,1,0,0,1,17,1922:,RD
0,1,0,0,1,18,198:,RD
0,1,0,0,1,19,202:,RD
0,1,0,0,1,20,2166:,RD
0,1,0,0,1,21,2660:,RD
0,1,0,0,1,22,2664:,RD
0,1,0,0,1,23,2780:,RD
0,1,0,0,1,24,3097:,RD
0,1,0,0,1,25,34:,RD
0,1,0,0,1,26,410:,RD
0,1,0,0,1,27,414:,RD
0,1,0,0,1,28,4364:,RD
0,1,0,0,1,29,442:,RD
0,1,0,0,1,30,450:,RD
0,1,0,0,1,31,460:,RD
0,1,0,0,1,32,492:,RD
0,1,0,0,1,33,496:,RD
0,1,0,0,1,34,739:,RD
0,1,0,0,1,35,743:,RD
0,1,0,0,1,36,783:,RD
0,1,0,0,1,37,787:,RD
0,1,0,0,1,38,800:,RD
0,1,0,0,2,1,1148:,RD
0,1,0,0,2,2,1748:,RD
0,1,0,0,2,3,1878:,RD
0,1,0,0,2,4,2157:,RD
0,1,0,0,2,5,2623:,RD
0,1,0,0,2,6,2768:,RD
0,1,0,0,2,7,402:,RD
0,1,0,0,2,8,4356:,RD
0,1,0,0,15,1,1268:,RD
0,1,0,0,15,2,1272:,RD
0,1,0,0,15,3,1276:,RD
0,1,0,0,15,4,1423:,RD
0,1,0,0,15,5,1458:,RD
0,1,0,0,15,6,1829:,RD
0,1,0,0,15,7,394:,RD
0,1,0,0,15,8,398:,RD
0,1,0,0,15,9,731:,RD
0,1,0,0,15,10,796:,RD
0,1,0,0,16,1,1706:,RD
0,1,0,32709,119,1,239:,RD
0,1,0,32709,120,1,1106:,RD
0,1,0,32709,120,2,235:,RD
0,1,0,32709,120,3,3009:,RD
0,1,0,32709,120,4,4396:,RD
0,1,0,32709,120,5,4476:,RD
0,1,0,32709,120,6,698:,RD
0,1,0,32709,121,1,4516:,RD
0,1,0,32709,123,1,4520:,RD
0,1,0,32709,124,1,4524:,RD
0,1,2,32705,107,1,3227:,WR
0,1,2,32705,107,2,3278:,WR
0,1,2,32705,107,3,3286:,WR
0,1,2,32705,107,4,3290:,WR
0,1,2,32705,107,5,3294:,WR
0,1,2,32705,107,6,3298:,WR
0,1,2,32705,107,7,3302:,WR
0,1,2,32705,107,8,3306:,WR
0,1,2,32705,107,9,3310:,WR
0,1,2,32705,107,10,3314:,WR
0,1,2,32705,107,11,3318:,WR
0,1,2,32705,107,12,3322:,WR
0,1,2,32705,107,13,3326:,WR
0,1,2,32705,107,14,3442:,WR
0,1,2,32705,107,15,3446:,WR
0,1,2,32705,107,16,3450:,WR
